carrier_route_id,arr_delay_x,arr_delay_y
1013510397DL,10.583005244258363,89.0
1013511057AA,19.091883092036785,99.5
1013511433DL,12.637105229103247,101.375
1013513577G4,,88.0
1013513930UA,12.073386710723163,83.83333333333333
1013514082G4,,82.0
1013514100AA,10.419761445034554,89.0
1013514112G4,,104.0
1013514761G4,16.276260831857748,95.25
1013611298AA,11.57227645787908,92.07142857142857
1014010397DL,39.399661589071215,97.66666666666667
1014010423G4,,93.0
1014010423WN,,99.0
1014010821WN,,105.0
1014011259WN,10.542431272854337,97.14285714285714
1014011292UA,9.64365076099295,94.0
1014011292WN,14.966629547095765,102.0
1014011298AA,16.198765385053267,98.0
1014012191WN,14.570518178843194,103.5
1014012266UA,2.5819888974716103,90.33333333333333
1014012478B6,,134.0
1014012889G4,,108.0
1014012889WN,14.463291920818481,96.42857142857143
1014012892AA,20.850659461993043,99.66666666666667
1014012892DL,,104.0
1014012892UA,,93.0
1014012892WN,16.418993066973787,90.75
1014013198WN,,101.0
1014013232WN,23.00724523564986,109.33333333333333
1014013487DL,0.0,81.0
1014013796WN,19.924858845171276,103.0
1014013930AA,7.211102550927978,89.0
1014013930UA,26.170912606683526,108.25
1014014057WN,,102.0
1014014107AA,11.815244390193541,90.4
1014014107WN,15.027910541325939,98.46666666666667
1014014679AS,15.011106998930268,85.33333333333333
1014014679WN,22.030282189144405,92.66666666666667
1014014747AS,23.515952032609693,113.0
1014014771UA,20.428737928059416,102.66666666666667
1014014869DL,11.74734012447073,88.0
1014014908AS,2.1213203435596424,86.5
1014113487DL,11.11155554666702,94.33333333333333
1014610397DL,5.909032633745278,99.75
1015410721B6,,92.0
1015411278B6,,82.0
1015412478B6,17.67766952966369,95.5
1015412953AA,,80.0
1015511298AA,20.521765448977757,93.0
1015712892UA,28.991378028648448,109.5
1015714771UA,16.345465500383966,88.41666666666667
1015810397NK,,88.0
1015811697NK,11.313708498984761,87.0
1015813204NK,10.656989658033293,88.28571428571429
1015813577NK,5.033222956847167,87.33333333333333
1015814027NK,,76.0
1015814635NK,15.556349186104045,92.0
1017010299AS,16.71227094083865,97.6
1018510397DL,15.587884489472678,95.125
1018511298AA,11.737404596701378,87.16666666666667
1018512266UA,12.694205652298894,85.85714285714286
1020810397DL,9.674217084109504,86.9047619047619
1020811057AA,11.136775914858742,100.55555555555556
1020811298AA,3.5355339059327378,106.5
1025710397DL,18.61525658640723,94.44444444444444
1025710821WN,19.726704163211277,97.85714285714286
1025711057AA,6.241184258807053,87.42857142857143
1025711278AA,11.548036320394168,89.75
1025711292WN,,87.0
1025711433DL,17.417424225948757,89.83333333333333
1025711618UA,22.105806175452337,105.66666666666667
1025711697B6,,138.0
1025711697WN,,70.0
1025712264UA,15.668439615992398,87.0
1025713204B6,,130.0
1025713204WN,12.517987058628874,83.2
1025713232WN,10.986355173577815,89.2
1025713577G4,,132.0
1025713930AA,20.959484726490775,90.6
1025713930UA,15.89549202342182,87.66666666666667
1025714082G4,,95.0
1025714100AA,11.297832785141834,93.15384615384616
1025714635WN,,75.0
1025714685G4,,98.0
1025714761G4,4.949747468305833,96.5
1025715304WN,8.48528137423857,89.0
1026813930AA,7.047458170621991,85.5
1027514747AS,,87.0
1027911259WN,13.34270503975029,92.44444444444444
1027911292UA,11.104053313993047,95.6
1027911298AA,13.845248610657343,90.0909090909091
1027912266UA,11.92802489005526,91.44444444444444
1027912889WN,11.313708498984761,102.0
1029910170AS,7.549834435270751,85.5
1029910551AS,5.431390245600108,103.0
1029910666G4,,80.0
1029910926AS,3.7859388972001837,96.33333333333333
1029911292UA,,122.0
1029911298AA,11.532562594670797,84.0
1029911336AS,7.7781745930520225,83.5
1029911445AS,10.275375094532235,103.25
1029911630AS,8.834905520465714,92.5
1029912173AS,,86.0
1029912523AS,15.207819626027188,99.44444444444444
1029912892AS,8.276472678623424,91.0
1029913487DL,16.522711641858304,74.0
1029913830AS,2.8284271247461903,92.0
1029913873AS,,81.0
1029913930AS,3.5355339059327378,91.5
1029913930UA,1.4142135623730951,84.0
1029913970AS,,92.0
1029914057AS,12.825400932949778,84.9090909090909
1029914709AS,8.801515021101007,93.33333333333333
1029914747AS,17.14236265628355,93.36842105263158
1029914747DL,14.060456200686684,88.625
1029914771UA,,74.0
1029914869DL,,112.0
1033311433DL,2.8284271247461903,71.0
1033314150DL,12.020815280171307,75.5
1036114100AA,8.08084154033477,83.4
1037211292UA,19.314061381101777,86.42857142857143
1037211298AA,23.33452377915607,82.5
1037212266UA,,98.0
1037212892AA,,65.0
1037212892DL,,136.0
1037212892UA,9.192388155425117,71.5
1037213930UA,21.37755832643195,89.5
1037214771UA,25.45584412271571,82.0
1037214869DL,,90.0
1039710135DL,7.0498226928058285,86.2
1039710140DL,11.992060865819676,93.14285714285714
1039710146DL,8.34865258589672,92.2
1039710158NK,,93.0
1039710185DL,8.109665015687554,91.16666666666667
1039710208DL,12.042349514035115,100.72727272727273
1039710257DL,5.291502622129181,86.0
1039710299DL,38.890872965260115,97.5
1039710408DL,21.6794833886788,103.0
1039710423DL,13.357304459268061,91.42857142857143
1039710423NK,,79.0
1039710423WN,11.686174167222852,98.83333333333333
1039710431DL,8.198096804063198,89.14285714285714
1039710529DL,11.686377906410035,100.0
1039710599DL,11.352924243950932,95.0
1039710685DL,7.571877794400367,90.66666666666667
1039710693DL,9.16515138991168,97.0
1039710693WN,11.640446726822816,110.0
1039710721B6,16.067565673326705,92.16666666666667
1039710721DL,16.92502649153408,98.25
1039710721NK,,74.0
1039710721WN,21.02379604162864,101.0
1039710731DL,10.47377677822093,88.2
1039710781DL,12.720062892926274,92.75
1039710785DL,6.148170459575757,85.6
1039710792DL,9.639699659419351,93.26666666666667
1039710821DL,9.63932916061417,89.6
1039710821NK,7.0019838458666674,95.44444444444444
1039710821WN,11.637582795981878,91.9
1039710849DL,,104.0
1039710868DL,11.340872303988995,91.0
1039710874DL,18.278706494473592,100.88888888888889
1039710980DL,9.689929661360049,93.6842105263158
1039710990DL,6.388233230676838,87.14285714285714
1039710994DL,8.003922198695498,90.5909090909091
1039711003DL,9.872520785831078,86.66666666666667
1039711042DL,14.797990386553156,95.13636363636364
1039711042NK,2.88675134594813,92.33333333333333
1039711042WN,3.214550253664317,80.66666666666667
1039711057AA,14.155647386862123,96.41176470588235
1039711057DL,7.445883189426776,89.76470588235294
1039711066DL,19.20236363656228,98.6923076923077
1039711066WN,11.109841197270619,99.5
1039711109DL,5.0332229568471645,81.33333333333333
1039711146DL,7.742892285985964,91.57142857142857
1039711150DL,9.365590516047867,97.0
1039711193DL,13.209424245170148,91.6
1039711193F9,,120.0
1039711252DL,12.757885262206914,98.18181818181819
1039711259DL,12.13672113875902,97.6
1039711259WN,10.943795807061948,101.16666666666667
1039711267DL,8.358295945413222,89.11111111111111
1039711278AA,14.177446878757824,89.66666666666667
1039711278DL,13.428824718989123,97.6
1039711278WN,17.911987207294608,93.625
1039711292DL,14.428548316998063,94.22222222222223
1039711292UA,9.038805230781332,92.8
1039711292WN,14.23275899365364,99.28571428571429
1039711298AA,19.15436519131743,100.52941176470588
1039711298DL,15.506450270774419,93.85
1039711298NK,3.5355339059327378,82.5
1039711308DL,11.759494644146672,92.42857142857143
1039711423DL,5.391792704790176,90.25
1039711433DL,12.592122079361307,95.8076923076923
1039711433NK,14.047538337136984,94.33333333333333
1039711433WN,17.009801096230767,101.66666666666667
1039711481DL,12.825326934975612,92.21428571428571
1039711540DL,18.49324200890693,99.0
1039711612DL,17.717357644546265,92.28571428571429
