STATION,NAME,DATE,PRCP,SNOW,SNWD
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/1/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/2/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/3/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/4/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/5/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/6/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/7/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/8/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/9/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/10/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/11/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/12/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/13/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/14/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/15/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/16/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/17/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/18/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/19/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/20/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/21/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/22/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/23/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/24/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/25/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/26/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/27/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/28/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/29/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/30/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",1/31/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",2/1/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",2/2/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",2/3/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",2/4/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",2/5/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",2/6/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",2/7/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",2/8/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",2/9/2018,0,0,
USW00013962,"ABILENE REGIONAL AIRPORT, TX US",2/10/2018,0,0,
