STATION,NAME,DATE,PRCP,SNOW,SNWD
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/1/2017,0.24,,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/2/2017,0,0,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/3/2017,0,0,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/4/2017,0,0,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/5/2017,0,0,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/6/2017,0.37,,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/7/2017,0.1,,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/8/2017,0,0,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/9/2017,1.44,,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/10/2017,0,0,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/11/2017,0,0,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/12/2017,0,0,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/13/2017,0,0,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/14/2017,0,0,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/15/2017,0,0,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/16/2017,0,0,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/17/2017,0,0,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/18/2017,0.13,,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/19/2017,0.01,,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/20/2017,0.13,,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/21/2017,1.58,,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/22/2017,0.03,,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/23/2017,0,0,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/24/2017,0.16,0,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/25/2017,0.12,,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/26/2017,0,0,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/27/2017,0,0,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/28/2017,0.1,,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/29/2017,0,0,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/30/2017,0,0,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",12/31/2017,0,0,
