origin_air_month,dep_delay_x,dep_delay_y
101351,5.887840577551898,-9.0
1013510,12.996794476587935,0.75
1013511,15.524174696260024,-1.0
1013512,1.4142135623730951,1.0
101352,6.191391873668904,-1.5
101354,3.5355339059327378,0.5
101355,4.43846820423443,-8.2
101356,,-2.0
101357,4.509249752822894,-7.333333333333333
101358,6.2182527020592095,-6.0
101359,9.192388155425117,-2.5
1013610,4.932882862316247,-6.666666666666667
1013611,,-6.0
101362,7.0710678118654755,-8.0
101363,,-3.0
101364,3.5355339059327378,-3.5
101366,4.949747468305833,-6.5
101367,0.0,-7.0
101369,,0.0
101401,7.4053552051394345,-3.625
1014010,10.201604151932543,3.4545454545454546
1014011,17.816658871217502,4.9
1014012,14.741919000733107,2.357142857142857
101402,26.314339141320733,10.222222222222221
101403,15.753771570050098,0.7857142857142857
101404,8.91268183185608,0.5384615384615384
101405,13.756816492197604,6.0
101406,14.212670403551895,1.0
101407,3.250174820472949,-4.181818181818182
101408,8.493509632793323,-2.5294117647058822
101409,16.6540103460416,1.5833333333333333
1014111,,-10.0
101413,0.7071067811865476,-7.5
101417,,18.0
101418,8.48528137423857,-7.0
1014611,,-6.0
1014612,,-13.0
101466,,-5.0
101468,,-6.0
101546,,-6.0
101548,,-5.0
101549,4.358898943540674,-6.0
1015511,,-7.0
1015512,,-5.0
101553,,-1.0
101555,,16.0
101556,7.0710678118654755,-7.0
101557,,-11.0
101558,,-6.0
1015710,0.7071067811865476,-5.5
1015711,,-10.0
1015712,,41.0
101573,11.313708498984761,-2.0
101574,,-16.0
101576,,34.0
101577,7.0,-1.0
101578,7.54983443527075,-12.0
101581,4.242640687119285,-8.0
1015811,3.5355339059327378,-8.5
101582,,-15.0
101583,10.016652800877813,-2.3333333333333335
101584,,-4.0
101585,9.192388155425117,4.5
101586,0.7071067811865476,-2.5
101587,,-5.0
101589,7.7781745930520225,-3.5
101701,,-11.0
1017011,,25.0
1017012,,-16.0
101709,0.7071067811865476,-1.5
101851,3.1622776601683795,-6.0
1018510,,-1.0
1018512,8.48528137423857,2.0
101852,,-6.0
101853,16.97056274847714,4.0
101854,2.8284271247461903,-8.0
101855,4.949747468305833,0.5
101857,0.7071067811865476,-7.5
101858,0.0,-9.0
101859,2.0816659994661326,-11.333333333333334
102081,6.363961030678928,-3.5
1020810,,13.0
1020811,2.1213203435596424,-8.5
1020812,16.741202380440214,8.625
102082,4.112987559751022,-3.25
102084,4.242640687119285,13.0
102085,0.0,-2.0
102086,3.8622100754188224,-2.75
102087,3.5355339059327378,-2.5
102088,5.259911279353167,-10.5
102089,,-2.0
102571,9.519403742832194,2.4285714285714284
1025710,5.650537269018887,-5.75
1025711,7.626707459098367,-8.166666666666666
1025712,7.694153624668538,0.0
102572,11.789068786682979,-0.125
102573,3.73571352696584,-2.2
102574,11.285438011486798,-0.8888888888888888
102575,3.696845502136472,-8.5
102576,24.63120842694139,12.875
102577,13.757049474956839,3.6153846153846154
102578,17.529196424044294,3.0
102579,2.3094010767585034,-6.666666666666667
1026811,,-6.0
102683,,-11.0
102684,,-10.0
