,0
0,1387111292
1,1129814771
2,1410010581
3,1039710821
4,1410013930
5,1323211066
6,1289213198
7,1039714122
8,1463510397
9,1288914100
10,1486910140
11,1104214100
12,1489314747
13,1509612264
14,1323211278
15,1457414761
16,1105711278
17,1393014771
18,1501613871
19,1288914107
21,1078112266
22,1129810980
23,1072111066
24,1320411066
25,1275814107
26,1129213930
27,1295310785
28,1226610397
29,1069314771
30,1393110821
32,1247814869
33,1478311292
34,1059911057
35,1393011612
36,1020811298
37,1082112892
38,1129210372
39,1161812266
40,1348710469
41,1334214869
42,1129211468
43,1105711973
44,1039712448
45,1537611057
47,1490811292
48,1104214027
49,1129812945
50,1288914893
51,1393015412
52,1226611057
54,1319811278
56,1143311278
57,1289212173
59,1129211057
61,1233913198
62,1295313930
63,1015714771
64,1075410299
65,1055811292
66,1410010135
67,1490814747
68,1226610747
69,1348714107
70,1385112892
71,1232314100
72,1315812266
73,1129214698
74,1161810693
75,1288911884
76,1198613232
77,1524913303
78,1099414100
79,1591913930
80,1530410397
81,1486914831
82,1072114122
83,1349512266
84,1129211298
85,1509611057
86,1467912892
87,1397010299
88,1105715016
89,1288911697
90,1232310397
91,1161814321
92,1129814689
93,1143313487
94,1129810721
96,1244812266
97,1143312892
98,1209411697
99,1524910397
100,1410013204
101,1320414100
102,1226613931
104,1315812266
105,1125914683
106,1025711697
107,1348712953
108,1393010785
109,1474710849
110,1039713495
111,1289214107
112,1226610721
114,1275814747
115,1486914107
117,1219111259
119,1039712264
120,1129212156
121,1169710821
122,1129211413
123,1182314100
124,1129214321
125,1082110792
126,1474714771
127,1169713198
129,1201614955
130,1039713931
131,1383014831
132,1477111292
133,1474714908
134,1486914771
135,1452411057
136,1477111884
137,1188414747
138,1129815919
139,1393011433
140,1039710874
141,1468311292
143,1066612889
144,1125910693
145,1393110397
146,1405712892
147,1052910821
148,1348711003
149,1330311624
150,1106612266
151,1291512266
152,1188414747
153,1410711638
154,1197311298
155,1127812892
156,1082113198
157,1349515016
158,1412210397
159,1405712892
160,1330311298
161,1501612451
162,1467914107
163,1405712892
164,1393014747
165,1393011076
166,1410711292
167,1474710713
168,1410012391
169,1334210721
170,1295311697
171,1163713930
172,1125914679
173,1226613851
174,1059911057
175,1289211697
177,1127811259
178,1320410732
179,1161813495
180,1537612889
181,1330310821
182,1105711292
183,1541210397
184,1393012266
185,1105713930
186,1232311057
187,1299211298
188,1538011433
189,1029914057
191,1125913796
192,1143315412
193,1079211697
194,1477113487
195,1295310721
197,1082113930
198,1129815411
200,1349511259
201,1468912892
202,1289213264
203,1393012953
204,1329614100
205,1080014771
206,1348714869
207,1161813204
208,1072110423
209,1199514100
210,1039714814
211,1105714685
212,1474714771
213,1349511433
214,1105710599
215,1477114747
216,1469814747
217,1320410821
218,1106610397
219,1410713871
220,1410713487
221,1320414730
222,1072114576
223,1393013487
224,1562410397
225,1275813830
226,1197711433
227,1477114869
228,1393010713
230,1393013303
232,1039714771
233,1457014831
234,1039713204
235,1348710693
236,1501613487
238,1467911292
239,1119313930
240,1072114747
241,1160314747
242,1411212544
244,1105713795
247,1104210721
248,1387111433
249,1393012264
250,1348712892
251,1226612448
252,1143313230
253,1072114679
254,1288914747
255,1288913930
256,1410014711
257,1226612339
258,1405712889
259,1449211066
260,1302911292
261,1169710397
263,1345913930
264,1410010581
265,1323013930
266,1348514771
267,1324411057
268,1288910800
269,1226611292
270,1127812478
271,1295412889
272,1247814492
273,1299211259
274,1410015016
275,1330312889
276,1477114679
277,1119311298
279,1105710980
280,1319813930
281,1226410257
282,1105715096
283,1226411193
284,1127810599
285,1129810140
286,1289215376
287,1078512953
288,1082110423
289,1489314747
290,1319811433
291,1163713930
292,1129812451
293,1129810136
294,1348711898
295,1082114057
296,1129811433
297,1039715016
298,1039713277
301,1383013796
302,1408211775
303,1129214814
305,1143313487
306,1288913303
307,1490810423
308,1348714771
309,1143311618
310,1247810792
311,1080012889
312,1487712255
313,1219112889
314,1319811259
315,1336010397
316,1289213930
319,1219111298
320,1014011259
321,1393012953
322,1226612217
323,1348714100
324,1412213487
325,1226611298
326,1215611292
327,1289215304
328,1530410397
329,1393012953
330,1330311066
332,1105713422
333,1039714100
334,1410012889
335,1042311697
336,1501613495
337,1412211057
338,1387111292
339,1069312264
340,1129210299
342,1227811292
343,1348714771
344,1489312954
345,1457613204
346,1039715370
348,1402715356
350,1143310434
351,1247814771
353,1226411618
354,1410710800
355,1288913930
356,1126712953
357,1483111292
358,1295314492
359,1143310397
360,1129210599
361,1233911057
362,1288910800
363,1104211278
364,1463510821
365,1082111057
366,1489311298
371,1143314696
372,1106611298
373,1489311618
374,1474713264
375,1410714057
376,1410715370
377,1161810721
378,1393011775
379,1509613930
382,1334213198
383,1393011193
384,1457611433
385,1244811298
386,1334211292
387,1486912478
389,1247811697
390,1226411995
391,1471114100
393,1289212478
395,1104210397
396,1025711618
397,1105710980
398,1289212889
399,1154014107
400,1320411278
401,1219111697
403,1295310397
404,1412214492
405,1164811292
406,1143313487
407,1319812889
408,1330313930
409,1129212889
412,1154014107
413,1330315024
414,1029914057
415,1405714893
416,1410713487
417,1129215370
418,1426211298
419,1412212266
420,1349510397
422,1323212191
423,1468312478
424,1212411057
425,1383012758
426,1477112892
427,1379610800
428,1069313487
429,1105714193
430,1289214771
431,1143315070
432,1425413204
433,1295312339
434,1432112478
436,1039713198
437,1393011823
439,1379614869
441,1143310397
442,1323210693
443,1226412892
444,1348711042
445,1410712889
446,1104212266
448,1220612266
449,1426214869
450,1127815016
451,1486912441
452,1530413495
453,1039711697
454,1349514492
455,1477112889
456,1039711481
457,1039710781
458,1217312982
459,1105713931
460,1348711003
461,1039713204
462,1039711612
463,1105710990
465,1161811433
466,1106612889
467,1419311057
469,1405713930
470,1295311697
471,1477114100
472,1039714783
473,1039711612
474,1073913487
475,1530413930
476,1348713342
477,1323211292
478,1129211921
481,1226614027
482,1468312892
483,1348714633
484,1474714057
485,1079213930
486,1486911298
487,1524911057
488,1071314869
489,1430712264
490,1477112266
491,1389111298
492,1288913232
493,1129810868
494,1169711618
495,1323214107
496,1383012173
497,1069311278
498,1330313204
499,1105715370
501,1483111292
502,1039711995
504,1537611298
505,1129814683
506,1486914489
507,1289211638
508,1289212478
509,1379614057
510,1226414771
511,1419311298
512,1299211298
513,1039714814
514,1343311292
515,1233913204
517,1039714122
518,1129213931
519,1393012451
520,1410013342
521,1537011259
522,1289212889
523,1410010792
524,1129814771
525,1069314100
526,1129210423
527,1412210397
528,1348711637
529,1477112264
530,1014012266
531,1275812892
532,1143311203
533,1298213830
534,1474711433
535,1393010397
536,1226411146
538,1086811298
539,1405711603
542,1143312266
543,1379614679
545,1323213244
547,1349510397
548,1129815919
549,1226411433
550,1426214107
551,1393012892
552,1143311618
553,1288911292
554,1489311292
555,1477112264
557,1129811638
558,1524911057
559,1541211278
560,1468312264
561,1129211298
562,1129814057
563,1502312892
564,1483111292
566,1039710693
568,1382910466
569,1219115016
570,1143313930
571,1295311066
572,1199613930
573,1393011775
574,1325611298
575,1474711884
576,1289210423
577,1393014307
578,1288914057
579,1298212173
580,1226412397
581,1468914107
582,1105714771
583,1129214771
584,1410713930
585,1042312892
586,1410813930
587,1504813930
589,1127810693
591,1106615016
592,1129210721
594,1042312266
595,1129211298
596,1198212266
597,1410014027
598,1186511292
599,1042311298
600,1383012173
601,1226412266
602,1288914057
603,1105710721
604,1129212899
605,1217312892
606,1119312953
607,1288912266
608,1501613930
609,1099413303
610,1591913930
611,1337710397
612,1161813487
613,1320413303
614,1227812266
615,1319814771
616,1039712266
617,1039710431
618,1072114576
619,1393011433
621,1127814307
622,1324413487
623,1129814492
624,1408214122
625,1410712266
626,1289214107
627,1490811292
628,1039712264
629,1129212191
630,1127815304
631,1161811697
633,1119311298
634,1042312892
635,1040811433
636,1226410397
637,1410711298
638,1467911638
640,1198211298
641,1289210423
642,1039710821
643,1226615016
644,1226610747
645,1027911259
646,1072112451
647,1119313930
648,1099011057
649,1029910170
650,1143310397
651,1245110721
652,1163812892
653,1125915370
654,1072114843
655,1410013930
656,1039713232
657,1129813290
658,1129214747
659,1393010792
660,1219111278
661,1490813930
662,1405713198
663,1129214908
664,1099410397
665,1294511057
667,1154010423
668,1217312982
669,1489314747
670,1405712954
671,1042313232
673,1039713930
674,1537013930
675,1319811618
676,1169711298
678,1348712953
679,1387113487
680,1143313204
682,1319812889
683,1477111057
684,1537011259
685,1530414747
687,1105713230
688,1530410821
689,1474710849
690,1143314057
692,1478310397
693,1079212889
694,1069313342
695,1052914100
696,1104213930
698,1169710994
699,1125911292
700,1469811298
701,1457612953
702,1129810185
704,1393013485
705,1484312478
706,1410010581
707,1379614683
708,1405712889
709,1039713487
710,1169711278
711,1348714492
712,1129812953
713,1114611057
714,1127811057
715,1161811697
716,1129211066
717,1537614057
718,1393012889
719,1099411057
720,1143311423
721,1189813487
722,1217312982
724,1477110800
725,1474710666
726,1217312758
727,1245111278
728,1143315016
729,1217312892
730,1082111697
731,1330311292
732,1247811042
733,1471612889
734,1478310397
735,1143313198
736,1467911618
737,1125914193
738,1476114108
739,1334211618
740,1073913487
741,1082110397
742,1069313232
743,1105711278
744,1383014747
746,1120311433
748,1240212173
749,1402711057
750,1039715304
752,1106613930
753,1079213930
754,1483114908
755,1226414771
756,1226610868
757,1226610747
758,1247814771
759,1039710781
760,1486915016
761,1105710397
762,1410013485
763,1042312266
764,1125912191
765,1477113204
766,1477114869
767,1393012953
768,1330310821
769,1289211298
770,1143313198
772,1188414831
774,1072112892
775,1106610821
777,1105714814
778,1477114893
779,1477114107
780,1072114492
782,1039711995
783,1410714771
784,1143313198
785,1143310721
786,1393012478
787,1410711292
789,1039712478
790,1039712451
791,1474712278
792,1330314122
793,1288912191
794,1463511433
795,1129812191
796,1295311193
797,1385114100
798,1449212264
800,1486910423
801,1119313204
802,1226610423
804,1143311259
805,1474713264
806,1226410397
807,1129810781
808,1072112892
809,1379613487
810,1143312197
812,1393015370
813,1025714100
814,1330311193
815,1039710821
816,1330313244
817,1457611618
818,1330312478
819,1072115304
820,1082110397
821,1289214107
822,1129213232
823,1129214321
824,1143314747
825,1188410713
827,1069313198
829,1105711433
830,1039711433
831,1486914262
832,1348513930
833,1323214747
834,1042310397
835,1289213487
836,1219113204
837,1405714831
838,1082114683
839,1106613930
840,1105714100
841,1161814679
842,1477110821
843,1334211278
844,1541214082
845,1410712266
846,1379612191
847,1161812266
849,1489312892
850,1330310529
851,1486910140
854,1226613303
855,1486911921
856,1348713930
857,1410714489
858,1329610821
859,1105711618
860,1468314747
861,1334211292
863,1486914747
864,1161815304
865,1105712992
866,1393012945
867,1042310693
868,1039711057
869,1348710397
870,1143314307
871,1127811433
872,1105712264
873,1393111433
874,1289210821
875,1467912266
877,1129811292
879,1240213830
881,1474714679
882,1169713232
883,1143312264
884,1143311278
885,1483112892
886,1014012191
887,1039714771
888,1129215376
889,1477112892
890,1289214107
891,1169711057
892,1348713485
893,1233913204
894,1143313487
895,1402710821
896,1288913204
897,1245111057
899,1105714524
900,1198613930
901,1379614057
902,1073211618
903,1379511057
904,1129213198
905,1320413232
906,1295414107
907,1410711433
908,1104210693
909,1393011042
910,1379612892
911,1129214252
912,1393013931
913,1295311193
914,1039713232
916,1289214893
917,1129814908
918,1082110257
919,1329612264
920,1161813871
922,1221713930
923,1105710785
924,1125913851
925,1039711057
926,1410713851
928,1072114122
929,1452412953
930,1393011278
931,1247814576
932,1410712892
933,1055811292
934,1393010980
935,1245111618
936,1457612953
937,1349512478
938,1217312982
939,1143315304
940,1169710397
941,1069310397
943,1289210721
944,1490811292
945,1348712889
946,1039711150
947,1125911278
948,1219112478
949,1410712892
951,1393110821
953,1348710141
954,1125911433
955,1198614100
956,1182311433
957,1320414492
958,1477114107
959,1161811298
960,1487712255
961,1161813204
963,1490814747
964,1105713360
965,1486912478
966,1080014893
967,1129210693
968,1295310792
970,1161812266
971,1226613303
972,1419311057
973,1410713198
974,1043111057
975,1348713232
976,1104210397
977,1127814492
978,1143314679
980,1537011057
981,1039713930
982,1127811697
983,1477110800
984,1039710980
985,1127811298
986,1432110821
987,1129211298
988,1502314107
989,1405714747
990,1072111433
991,1105710785
992,1476111423
993,1393011067
994,1072114100
995,1042313204
996,1082114635
999,1537614314
1000,1449211618
1001,1129213232
1002,1288913232
1003,1393111618
1004,1474710721
1005,1143313485
1007,1348710721
1008,1172113930
1010,1289214683
1011,1348713232
1012,1129811697
1013,1129213342
1014,1127813495
1015,1247811278
1016,1129810693
1017,1474714771
1018,1330310721
1019,1125913232
1020,1119314747
